Dataset,Record ID
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_5
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_6
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_7
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_8
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_9
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_10
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_11
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_12
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_13
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_14
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_15
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_16
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_17
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_18
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_19
UTHSC_BXD_WB_RNASeq1112,NM_001122899
UTHSC_BXD_WB_RNASeq1112,NM_010704
UTHSC_BXD_WB_RNASeq1112,NM_146146
EPFL-LISP_BXD_Col-CD+HFD0917,TC0800002807.mm.2
MA_M2_0806_P,1422562_at
MA_M2_0806_R,1422562_at
Eye_M2_0908_R_NB,1422562_at
GenEx_BXD_liverSal_RMA_0211,1422562_at
GenEx_BXD_liverSal_RMA_M_0211,1422562_at
GSE16780_UCLA_ML0911,1422562_at_A
VCU_PF_AvE_0111_Ss,1415876_a_at
VCU_PF_Et_0111_R,1415876_a_at
CB_M_0305_P,1422562_at_A
CB_M_0305_R,1422562_at_A
VCUSal_1007_R,1415876_a_at
VCUEtOH_1007_R,1415876_a_at
Eye_M2_0908_R,1422562_at
VCUSalo_1007_R,1415876_a_at
IoP_SPL_RMA_0509,1422562_at
GCB_M2_0505_R,1422562_at
GCB_M2_0505_P,1422562_at
HC_M2_0606_R,1422562_at
HC_M2_0606_M,1422562_at
GenEx_BXD_liverEt_RMA_0211,1422562_at
CB_M_1004_M,1422562_at_A
CB_M_1004_P,1422562_at_A
GenEx_BXD_CerebEt_RMA_0213,1422562_at
GenEx_BXD_CerebEt_RMA_F_0213,1422562_at
GenEx_BXD_CerebEt_RMA_M_0213,1422562_at
IBR_M_0106_P,1422562_at_A
CB_M_1003_M,1422562_at_A
gn10,1422562_at
GenEx_BXD_liverEt_RMA_M_0211,1422562_at
GenEx_BXD_liverEt_RMA_F_0211,1422562_at
GenEx_BXD_liverSal_RMA_F_0211,1422562_at
Eye_M2_0908_WTWT,1422562_at
DOD-BXD-PFC-CTL-RNA-Seq-1019,ENSMUSG00000031880
DOD-BXD-PFC-DFP-RNA-Seq-1019,ENSMUSG00000031880
UCLA_BXD_Liv_Jan16,1422562_at
UCLA_BXD_Aor_Jan16,1422562_at
VCU_NAc_AvE_0113_Ss,1415876_a_at
VCU_NAc_Et_0113_R,1415876_a_at
Eye_M2_0908_R_ND,1422562_at
CB_M_1004_R,1422562_at_A
CB_M_0305_M,1422562_at_A
Eye_M2_0908_R_MT,1422562_at
Eye_M2_0908_R_WT,1422562_at
VCUEtOH_1206_R,1415876_a_at
VCUSal_1006_R,1415876_a_at
GenEx_BXD_liverEt_M5_0912,1422562_at
GenEx_BXD_liverEt_M5M_0912,1422562_at
GenEx_BXD_liverEt_M5F_0912,1422562_at
DOD-BXD-PFC-CD-RNA-Seq-1019,ENSMUSG00000031880
HC_M2_0606_P,1422562_at
IBR_M_0606_R,1422562_at_A
SA_M2_0405_MC,1422562_at
VCUSal_1206_R,1415876_a_at
BR_M2_1106_R,1422562_at
CB_M_0204_P,1422562_at_A
MA_M2_0706_R,1422562_at
MA_M2_0706_P,1422562_at
SA_M2_0405_RC,1422562_at
GCB_M2_0505_M,1422562_at
BXD_GLA_0911,1422562_at
MA_M2F_0706_R,1422562_at
MA_M2M_0706_R,1422562_at
GenEx_BXD_CerebSal_RMA_M_0213,1422562_at
HZI_0408_R,1422562_at
HZI_0408_M,1422562_at
VCU_NAc_Air_0113_R,1415876_a_at
SA_M2_0405_RR,1422562_at
SA_M2_0405_PC,1422562_at
VCU_PF_Air_0111_R,1415876_a_at
IBR_M_0106_R,1422562_at_A
GenEx_BXD_CerebSal_RMA_0213,1422562_at
GenEx_BXD_CerebSal_RMA_F_0213,1422562_at
HC_M2_1205_P,1422562_at
DoDCMMRPRetMoGene2Ex_0515,17415980
DoDCMMRPRetMoGene2Ex_0515,17415981
DoDCMMRPRetMoGene2Ex_0515,17415982
DoDCMMRPRetMoGene2Ex_0515,17415983
DoDCMMRPRetMoGene2Ex_0515,17415985
DoDCMMRPRetMoGene2Ex_0515,17415986
DoDCMMRPRetMoGene2Ex_0515,17415987
DoDCMMRPRetMoGene2Ex_0515,17415988
DoDCMMRPRetMoGene2Ex_0515,17415989
DoDCMMRPRetMoGene2Ex_0515,17415991
DoDCMMRPRetMoGene2Ex_0515,17415992
DoDCMMRPRetMoGene2Ex_0515,17415993
DoDCMMRPRetMoGene2Ex_0515,17415995
DoDCMMRPRetMoGene2Ex_0515,17415997
DoDCMMRPRetMoGene2Ex_0515,17415998
DoDCMMRPRetMoGene2Ex_0515,17415999
DoDCMMRPRetMoGene2Ex_0515,17416001
DoDCMMRPRetMoGene2Ex_0515,17416002
DoDCMMRPRetMoGene2Ex_0515,17416003
DoDCMMRPRetMoGene2Ex_0515,17416004
UTHSC_BXD_MamGland_cpm_0322,NM_010704
UTHSC_BXD_MamGland_cpm_0322,NM_146146
UTHSC_BXD_MamGland_tum_0322,NM_001122899
UTHSC_BXD_MamGland_tum_0322,NM_010704
UTHSC_BXD_MamGland_tum_0322,NM_146146
UTHSC_BXD_MamGland_cpmNtum_0322,NM_001122899
UTHSC_BXD_MamGland_cpmNtum_0322,NM_010704
UTHSC_BXD_MamGland_cpmNtum_0322,NM_146146
DBA2J-ONH-1212,1415876_a_at
DoDRetBlastvsNormalEx_0416,17415980
DoDRetBlastvsNormalEx_0416,17415981
DoDRetBlastvsNormalEx_0416,17415982
DoDRetBlastvsNormalEx_0416,17415983
DoDRetBlastvsNormalEx_0416,17415985
DoDRetBlastvsNormalEx_0416,17415986
DoDRetBlastvsNormalEx_0416,17415987
DoDRetBlastvsNormalEx_0416,17415988
DoDRetBlastvsNormalEx_0416,17415989
DoDRetBlastvsNormalEx_0416,17415991
DoDRetBlastvsNormalEx_0416,17415992
DoDRetBlastvsNormalEx_0416,17415993
DoDRetBlastvsNormalEx_0416,17415995
DoDRetBlastvsNormalEx_0416,17415997
DoDRetBlastvsNormalEx_0416,17415998
DoDRetBlastvsNormalEx_0416,17415999
DoDRetBlastvsNormalEx_0416,17416001
DoDRetBlastvsNormalEx_0416,17416002
DoDRetBlastvsNormalEx_0416,17416003
DoDRetBlastvsNormalEx_0416,17416004
DoDRetBlastvsNormal_0416,17415979
DoDTATRCRetBLMoGene2_0316,17415979
EPFLADGL1013,17415979
EPFLADEL1013,17415980
EPFLADEL1013,17415981
EPFLADEL1013,17415982
EPFLADEL1013,17415983
EPFLADEL1013,17415985
EPFLADEL1013,17415986
EPFLADEL1013,17415987
EPFLADEL1013,17415988
EPFLADEL1013,17415989
EPFLADEL1013,17415991
EPFLADEL1013,17415992
EPFLADEL1013,17415993
EPFLADEL1013,17415995
EPFLADEL1013,17415997
EPFLADEL1013,17415998
EPFLADEL1013,17415999
EPFLADEL1013,17416001
EPFLADEL1013,17416002
EPFLADEL1013,17416003
EPFLADEL1013,17416004
UTHSC_BXD_MamGland_ca_0322,NM_001122899
UTHSC_BXD_MamGland_ca_0322,NM_010704
UTHSC_BXD_MamGland_ca_0322,NM_146146
UTHSC_BXD_MamGland_cpm_0322,NM_001122899
DoDCMMRPRetMoGene2_0515,17415979
DoDTATRCRetBLMoGene2E_0316,17415980
DoDTATRCRetBLMoGene2E_0316,17415981
DoDTATRCRetBLMoGene2E_0316,17415982
DoDTATRCRetBLMoGene2E_0316,17415983
DoDTATRCRetBLMoGene2E_0316,17415985
DoDTATRCRetBLMoGene2E_0316,17415986
DoDTATRCRetBLMoGene2E_0316,17415987
